Name,Gender
"Brian Cotter, Baron Cotter",Male
Paul Bristow,Male
Paul Maynard,Male
"John McFall, Baron McFall of Alcluith",Male
Tom Greatrex,Male
Julie Marson,Female
Chris Philp,Male
Mike Penning,Male
Derek Conway,Male
Anne McIntosh,Female
Michael Clapham,Male
Peter Kilfoyle,Male
Carol Monaghan,Female
Andrew Murrison,Male
Paul Blomfield,Male
Joanna Cherry,Female
Vera Baird,Female
David Hamilton (British politician),Male
Olivia Blake,Female
Nigel Dodds,Male
Barry Gardiner,Male
Helen Grant (politician),Female
Mike Freer,Male
Karen Lee (politician),Female
Stuart Bell,Male
Annabelle Ewing,Female
Paul Marsden,Male
Bob Marshall-Andrews,Male
Pamela Nash,Female
Robin Cook,Male
Patricia Hewitt,Female
James Berry (barrister),Male
Terry Davis (politician),Male
Stephen Kinnock,Male
Ruth Cadbury,Female
Bill Olner,Male
Ian Cawsey,Male
Chris Loder,Male
Michael Howard,Male
David Nuttall,Male
Dawn Butler,Female
Chris Evans (British politician),Male
Anna Firth,Female
Mark Menzies,Male
Roger Gale,Male
George Galloway,Male
Lee Anderson (British politician),Male
Margaret Curran,Female
Ronnie Campbell,Male
Marcus Fysh,Male
Allan Dorans,Male
Julie Elliott,Female
Francis Maude,Male
Meg Munn,Female
Fleur Anderson,Female
Gillian Merron,Female
Boris Johnson,Male
Matthew Pennycook,Male
Philip Davies,Male
Tom Brake,Male
Lucy Frazer,Female
Bambos Charalambous,Male
Taiwo Owatemi,Female
Andrew Lewer,Male
John Hume,Male
Gloria De Piero,Female
Geoffrey Clifton-Brown,Male
James Davies (politician),Male
Neil Coyle,Male
James Daly (English politician),Male
Tasmina Ahmed-Sheikh,Female
Michelle Gildernew,Female
Barry McElduff,Male
Archy Kirkwood,Male
Mike Hill (British politician),Male
Ben Bradley (politician),Male
Patsy Calton,Female
John Leech (politician),Male
Debbie Abrahams,Female
Denzil Davies,Male
Thomas Docherty (politician),Male
Fiona Mactaggart,Female
James Morris (British politician),Male
Colleen Fletcher,Female
Simon Clarke (politician),Male
Rachel Hopkins,Female
David Laws,Male
Bill Grant (politician),Male
Lesley Laird,Female
Annette Brooke,Female
Pat Doherty (politician),Male
Paul Masterton,Male
Francie Molloy,Male
